ShowID	Name	EpisodeName	EpisodeNumber	ReleasedOn	ReleasedYear	Description	RunningMins	PictureURL	RatingID	IsAdult
1	M				1931	Starring: Peter Lorre, Otto Wernicke & Gustav Grundgens	99			FALSE
2	10:30 P.M. Summer				1966	Starring: Melina Mercouri & Romy Schneider	84			FALSE
3	20,000 Leagues Under the Sea				1916	Starring: Matt Moore, Alen Holubar & June Gail	99			FALSE
4	39 Steps, The				1935	Starring: Robert Donat & Madeleine Caroll	85			FALSE
5	911				2001	Starring: N/A	13			FALSE
6	A Christmas Carol				1951	Starring: Alastair Sim & Kathleen Harrison	83			FALSE
7	A Farewell To Arms				1932	Starring: Gary Cooper & Helen Hayes	78			FALSE
8	Abilene Town				1946	Starring: Randolph Scott, Ann Dvorak & Edgar Buchanan	89			FALSE
9	Abraham Lincoln				1930	Starring: Walter Houston	89			FALSE
10	Absolution				1981	Starring: Richard Burton	94			FALSE
11	Aces and Eights				1936	Starring: Tim McCoy & Jimmy Aubrey	59			FALSE
12	Aces High				1976	Starring: Malcolm McDowell, Christopher Plummer & Simon Ward	109			FALSE
13	Achtung! The Desert Tigers				1976	Starring: Richard Harrison, Isarco Ravaioli & Lea Lander	82			FALSE
14	Adam and Eve vs. Cannibals				1982	Starring: Mark Gregory & Andrea Goldman	90			FALSE
15	Admiral Was A Lady, The				1950	Starring: Hillary Brooke, Steve Brodie & Richard Erdman	86			FALSE
16	Adolescent Sexcapades				1998	Starring: Candy & Mandy	26			TRUE
17	Adolescent Sexcapades pt.2				1998	Starring: Candy & Mandy	19			TRUE
18	Adventures of Kit Carson, The - Border City				1955	Starring: Bill Williams & Don Diamond	26			FALSE
19	Adventures of Kit Carson, The - Fury At Red Gulch				1953	Starring: Bill Williams & Don Diamond	26			FALSE
20	Adventures of Kit Carson, The - The Phantom Uprising				1955	Starring: Bill Williams & Don Diamond	26			FALSE
21	Adventures of Kit Carson, The - Trouble in Tuscarora				1953	Starring: Bill Williams & Don Diamond	26			FALSE
22	Adventures of Mr. Wonderbird, The				1960	Starring: Mr. Wonderbird	63			FALSE
23	Africa Screams				1949	Starring: Abbott & Costello	79			FALSE
24	After Mein Kampf				1940	Starring: N/A	43			FALSE
25	After Pearl Harbor 1941-1945				1946	Starring: N/A	60			FALSE
26	Aladdin				1968	Starring: Aladdin	72			FALSE
