ShowCategoryID	ShowID	CategoryID
BCA5C599-169A-46AF-9D77-300DA85FFC69	1	drama
4431D78C-E5C1-43FF-BE61-DEE811EC888A	2	drama
4B88064B-6F9C-4DEC-8481-184B4C3E101F	3	classics
5EBEAA3E-EC96-477E-B716-C0AB2CBB8C17	4	thriller
B053D10D-BDE6-4FEB-9296-9B8100A9567F	5	thriller
FA011F5B-822E-4765-A0EB-76B074719290	6	classics
9F4C10C0-5889-45EC-BB73-5A710936B762	7	romance
BB227FC8-559F-424D-AB02-1C5227D2E3F7	8	western
04B026B8-9D13-44D7-84A9-8ACA565E4E11	9	classics
51EB049D-EE5A-4F60-AA59-1C293E80EBB1	10	drama
26778BB5-07B1-4195-9C47-FAF67CD8E079	11	western
76AA8D99-D157-457D-9335-B2BDBAF02BDA	12	action
4E3B2D9C-7D3C-4ADB-A8D7-1A27F69BB767	13	action
7DF822BF-D36E-4EBC-8F60-4C3C3CAEF97F	14	action
7CAA24F8-6F0E-4EB6-B79B-B03C1E6F2E2E	15	comedy
D0AC9719-76C6-4B98-A94F-C523C008306E	18	classics
8ED53CB2-8A53-4B15-BB19-6C836CB90B39	19	classics
71F3FA2A-4176-480C-AA12-A9F521737A18	20	classics
6A36D0E6-6EE3-4AC7-91CF-06BC9DBFB67B	21	classics
3BFC1E6F-256F-4082-B847-6BC80AF79D1A	22	family
390FD1C3-413F-4C97-8BD6-2629E43922D0	23	comedy
53C2487C-39EF-44B4-AAB6-E3AB441F0825	24	drama
0FB420EA-791B-4803-B4D4-2F37D8B72878	25	drama
EC3EDEFA-5414-4C22-8B1A-1CED88C4B7AB	26	family
F060B4AE-08AB-4CD0-8984-D71E1F3E7D73	27	classics
9D2D6AE6-212D-46B2-BC3E-41BE4649B08A	28	classics
67ACFA91-41B2-4442-9F2C-E02411F2E9FB	29	romance
03C039F5-33CB-4BC8-8B88-D177A2070C83	30	western
391F3B43-C5AC-4D52-8394-D816BF75495E	31	family
66F5C178-8030-46FD-BDAD-1EF3B11EBF87	32	family
9567AB09-CF54-4789-9463-48C6F62C688E	33	scifi
E03EFD2A-2A7C-4810-A3BE-2F204E96066E	34	comedy
A29F6DD8-4DCF-4BA1-A503-01673CB3793E	35	classics
E558B826-B461-41EF-AB3E-8DE6276C908D	36	action
9816520F-5B6E-43EC-966D-E522D9818E6E	37	thriller
868CE54B-9B30-450E-8AAB-8600DBA07DFC	38	drama
