ShowID	ProviderID	ProviderShowID	ShowURL	CostType	CostCurrencyID	CostAmount	CostDescription	RentalHours
1	cinemanow	cinemanow1	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1	movieflix	movieflix1	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
10	cinemanow	cinemanow10	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
10	movieflix	movieflix10	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1036	cinemanow	cinemanow1036	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1036	movieflix	movieflix1036	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1037	movieflix	movieflix1037	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1038	movieflix	movieflix1038	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1040	movieflix	movieflix1040	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1041	movieflix	movieflix1041	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1042	movieflix	movieflix1042	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1043	movieflix	movieflix1043	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1044	movieflix	movieflix1044	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1045	movieflix	movieflix1045	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1046	movieflix	movieflix1046	http://www.unknown.com	Subscription	USD		Plus	48
1047	movieflix	movieflix1047	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1048	movieflix	movieflix1048	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1049	movieflix	movieflix1049	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1050	cinemanow	cinemanow1050	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1050	movieflix	movieflix1050	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1066	movieflix	movieflix1066	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1067	movieflix	movieflix1067	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1068	movieflix	movieflix1068	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1069	movieflix	movieflix1069	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1070	cinemanow	cinemanow1070	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1070	movieflix	movieflix1070	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1071	movieflix	movieflix1071	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1072	movieflix	movieflix1072	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1073	movieflix	movieflix1073	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1074	movieflix	movieflix1074	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1075	movieflix	movieflix1075	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1076	movieflix	movieflix1076	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1077	movieflix	movieflix1077	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
1078	movieflix	movieflix1078	http://www.unknown.com	PayPerView	USD	4.95	$4.95	48
