ShowProviderID	ShowID	ProviderID	ProviderShowID	ShowCost_ShowCostType	ShowCost_Money_CurrencyID	ShowCost_Money_Amount	ShowCost_Description	ShowCost_RentalHours
sp1	1	internetvideos	internetvideos1	PayPerView	USD	3.95	$3.95	72
sp2	2	moviesmovies	moviesmovies2	Free			Free	72
sp3	3	vodflicks	vodflicks3	Subscription			Subscription	72
sp4	4	excellentvideos	excellentvideos4	PayPerView	USD	2.95	$2.95	72
sp5	5	internetvideos	internetvideos5	PayPerView	USD	4.95	$4.95	72
sp6	6	moviesmovies	moviesmovies6	PayPerView	USD	9.95	$9.95	72
sp7	7	vodflicks	vodflicks7	PayPerView	USD	3.95	$3.95	72
sp8	8	excellentvideos	excellentvideos8	Free			Free	72
sp9	9	internetvideos	internetvideos9	Subscription			Subscription	72
sp10	10	moviesmovies	moviesmovies10	PayPerView	USD	2.95	$2.95	72
sp11	11	vodflicks	vodflicks11	PayPerView	USD	4.95	$4.95	72
sp12	12	excellentvideos	excellentvideos12	PayPerView	USD	9.95	$9.95	72
sp13	13	internetvideos	internetvideos13	PayPerView	USD	3.95	$3.95	72
sp14	14	moviesmovies	moviesmovies14	Free			Free	72
sp15	15	vodflicks	vodflicks15	Subscription			Subscription	72
sp16	16	excellentvideos	excellentvideos16	PayPerView	USD	2.95	$2.95	72
sp17	17	internetvideos	internetvideos17	PayPerView	USD	4.95	$4.95	72
sp18	18	moviesmovies	moviesmovies18	PayPerView	USD	9.95	$9.95	72
sp19	19	vodflicks	vodflicks19	PayPerView	USD	3.95	$3.95	72
sp20	20	excellentvideos	excellentvideos20	Free			Free	72
sp21	21	internetvideos	internetvideos21	Subscription			Subscription	72
sp22	22	moviesmovies	moviesmovies22	PayPerView	USD	2.95	$2.95	72
sp23	23	vodflicks	vodflicks23	PayPerView	USD	4.95	$4.95	72
sp24	24	excellentvideos	excellentvideos24	PayPerView	USD	9.95	$9.95	72
sp25	25	internetvideos	internetvideos25	PayPerView	USD	3.95	$3.95	72
sp26	26	moviesmovies	moviesmovies26	Free			Free	72
sp27	27	vodflicks	vodflicks27	Subscription			Subscription	72
sp28	28	excellentvideos	excellentvideos28	PayPerView	USD	2.95	$2.95	72
sp29	29	internetvideos	internetvideos29	PayPerView	USD	4.95	$4.95	72
sp30	30	moviesmovies	moviesmovies30	PayPerView	USD	9.95	$9.95	72
sp31	31	vodflicks	vodflicks31	PayPerView	USD	3.95	$3.95	72
sp32	32	excellentvideos	excellentvideos32	Free			Free	72
sp33	33	internetvideos	internetvideos33	Subscription			Subscription	72
sp34	34	moviesmovies	moviesmovies34	PayPerView	USD	2.95	$2.95	72
sp35	35	vodflicks	vodflicks35	PayPerView	USD	4.95	$4.95	72
sp36	36	excellentvideos	excellentvideos36	PayPerView	USD	9.95	$9.95	72
sp37	37	internetvideos	internetvideos37	PayPerView	USD	3.95	$3.95	72
sp38	38	moviesmovies	moviesmovies38	Free			Free	72
sp39	39	vodflicks	vodflicks39	Subscription			Subscription	72
sp40	40	excellentvideos	excellentvideos40	PayPerView	USD	2.95	$2.95	72
sp41	41	internetvideos	internetvideos41	PayPerView	USD	4.95	$4.95	72
sp42	42	moviesmovies	moviesmovies42	PayPerView	USD	9.95	$9.95	72
sp43	43	vodflicks	vodflicks43	PayPerView	USD	3.95	$3.95	72
sp44	44	excellentvideos	excellentvideos44	Free			Free	72
sp45	45	internetvideos	internetvideos45	Subscription			Subscription	72
sp61	61	moviesmovies	moviesmovies61	PayPerView	USD	2.95	$2.95	72
sp62	62	vodflicks	vodflicks62	PayPerView	USD	4.95	$4.95	72
sp63	63	excellentvideos	excellentvideos63	PayPerView	USD	9.95	$9.95	72
sp64	64	internetvideos	internetvideos64	PayPerView	USD	3.95	$3.95	72
sp65	65	moviesmovies	moviesmovies65	Free			Free	72
